name,store_name,street,city,province,postal_cod,country,source,lon,lat,geometry
Safeway,Safeway Crestview,3393 Portage Avenue,Winnipeg,Manitoba,R3K2G7,Canada,https://www.safeway.ca/store-locator,-97.2992578,49.8832098,POINT (-97.2992578 49.8832098)
Safeway,Safeway Charleswood Centre,3900 Grant Avenue,Winnipeg,Manitoba,R3R3C2,Canada,https://www.safeway.ca/store-locator,-97.2634718954337,49.8580669,POINT (-97.2634718954337 49.8580669)
Safeway,Safeway Tuxedo,2025 Corydon Avenue,Winnipeg,Manitoba,R3P0N5,Canada,https://www.safeway.ca/store-locator,-97.2118360117133,49.86728305,POINT (-97.2118360117133 49.86728305)
Safeway,Safeway Tyndall Square,850 Keewatin Street,Winnipeg,Manitoba,R2R0Z5,Canada,https://www.safeway.ca/store-locator,-97.1970114619641,49.9378612,POINT (-97.1970114619641 49.9378612)
Safeway,Safeway Madison Square,1612 Ness Avenue,Winnipeg,Manitoba,R3J0H7,Canada,https://www.safeway.ca/store-locator,-97.2049260487446,49.88201075,POINT (-97.2049260487446 49.88201075)
Safeway,Safeway Lindenridge,1625 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M4,Canada,https://www.safeway.ca/store-locator,-97.2014662640453,49.82584245,POINT (-97.2014662640453 49.82584245)
Safeway,Safeway Mountain and McGregor,594 Mountain Avenue,Winnipeg,Manitoba,R2W1L2,Canada,https://www.safeway.ca/store-locator,-97.144814801507,49.92415185,POINT (-97.144814801507 49.92415185)
Safeway,Safeway River Avenue,499 River Avenue,Winnipeg,Manitoba,R3L0C9,Canada,https://www.safeway.ca/store-locator,-97.1484939,49.8794753,POINT (-97.1484939 49.8794753)
Safeway,Safeway Pembina Village,2155 Pembina Highway,Winnipeg,Manitoba,R3T5S9,Canada,https://www.safeway.ca/store-locator,-97.1548772749378,49.8120399,POINT (-97.1548772749378 49.8120399)
Safeway,Safeway Osborne and Kylemore,655 Osborne Avenue,Winnipeg,Manitoba,R3L2B7,Canada,https://www.safeway.ca/store-locator,-97.1483503,49.8726067,POINT (-97.1483503 49.8726067)
Safeway,Safeway Marion and Braemar,285 Marion Street,Winnipeg,Manitoba,R2H0T8,Canada,https://www.safeway.ca/store-locator,-97.1147178167241,49.8820952,POINT (-97.1147178167241 49.8820952)
Safeway,Safeway River East Plaza,1441 Henderson Highway,Winnipeg,Manitoba,R2G1N4,Canada,https://www.safeway.ca/store-locator,-97.0826563,49.9462032,POINT (-97.0826563 49.9462032)
Safeway,Safeway Transcona,654 Kildare Avenue East,Winnipeg,Manitoba,R2C0P8,Canada,https://www.safeway.ca/store-locator,-96.9856272,49.9002583,POINT (-96.9856272 49.9002583)
Sobeys,Sobeys Kildonan,50 Kildonan Green Drive,Winnipeg,Manitoba,R3W0H1,Canada,https://www.sobeys.com/store-locator,-97.0271773,49.910491,POINT (-97.0271773 49.910491)
Sobeys,Sobeys Reenders,7 Reenders Drive,Winnipeg,Manitoba,R2C5K5,Canada,https://www.sobeys.com/store-locator,-97.0674923913831,49.9041611,POINT (-97.0674923913831 49.9041611)
Sobeys,Sobeys Rivergrove,2575 Main Street,Winnipeg,Manitoba,R2V4W3,Canada,https://www.sobeys.com/store-locator,-97.0888533659926,49.9579663,POINT (-97.0888533659926 49.9579663)
Sobeys,Sobeys Sage Creek,50 Sage Creek Boulevard,Winnipeg,Manitoba,R3X0J6,Canada,https://www.sobeys.com/store-locator,-97.0459387,49.8325034,POINT (-97.0459387 49.8325034)
Sobeys,Sobeys Northdale,965 Henderson Highway,Winnipeg,Manitoba,R2K2M3,Canada,https://www.sobeys.com/store-locator,-97.0944523659046,49.9336795,POINT (-97.0944523659046 49.9336795)
Sobeys,St. Annes Sobeys,1939 Abinojii Mikanah,Winnipeg,Manitoba,R2M5S1,Canada,https://www.sobeys.com/store-locator,-97.0947985,49.838668,POINT (-97.0947985 49.838668)
Sobeys,Sobeys St. Vital,1500 Dakota Street,Winnipeg,Manitoba,R2N3Y7,Canada,https://www.sobeys.com/store-locator,-97.09550035996,49.810642,POINT (-97.09550035996 49.810642)
Sobeys,Sobeys Grant Park,1150 Taylor Avenue,Winnipeg,Manitoba,R3M3Z4,Canada,https://www.sobeys.com/store-locator,-97.165050251143,49.8523019,POINT (-97.165050251143 49.8523019)
Sobeys,Sobeys Pembina,2850 Pembina Highway,Winnipeg,Manitoba,R3T6E4,Canada,https://www.sobeys.com/store-locator,-97.1550034381081,49.78950395,POINT (-97.1550034381081 49.78950395)
Sobeys,Sobeys Kenaston,1660 Kenaston Boulevard,Winnipeg,Manitoba,R3P2M6,Canada,https://www.sobeys.com/store-locator,-97.2037793,49.8213805,POINT (-97.2037793 49.8213805)
Sobeys,Sobeys Unicity,3635 Portage Avenue,Winnipeg,Manitoba,R3K2G6,Canada,https://www.sobeys.com/store-locator,-97.3111672,49.885793,POINT (-97.3111672 49.885793)
IGA,IGA Windsor Park,650 Elizabeth Road,Winnipeg,Manitoba,R2J 1A4,Canada,https://west.iga.ca/store-locator/,-97.0843936501758,49.8710018571454,POINT (-97.0843936501758 49.8710018571454)
IGA,IGA Main St,1650 Main Street,Winnipeg,Manitoba,R2V 1Y9,Canada,https://west.iga.ca/store-locator/,-97.1221903168134,49.9335934,POINT (-97.1221903168134 49.9335934)
Red-River Co-op,Grant Park,1120 Grant Avenue,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1657136,49.8575422,POINT (-97.1657136 49.8575422)
Red-River Co-op,Seasons,755 Sterling Lyon Parkway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.2214439488523,49.84365095,POINT (-97.2214439488523 49.84365095)
Red-River Co-op,Southdale,77 Vermillion Road,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.0733929427718,49.85452835,POINT (-97.0733929427718 49.85452835)
Red-River Co-op,St Norbert,3477 Pembina Highway,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1559566,49.7670012,POINT (-97.1559566 49.7670012)
Red-River Co-op,St Vital,850 Dakota Street,Winnipeg,Manitoba,,Canada,https://www.redriverco-op.crs/sites/redriver/local/detail/food-stores,-97.1063959120959,49.82821835,POINT (-97.1063959120959 49.82821835)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE SARGENT AVENUE,1385 Sargent Avenue,Winnipeg,Manitoba,R3E 3P8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.1989021094506,49.9000278,POINT (-97.1989021094506 49.9000278)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE ST ANNE'S ROAD,215 St Anne's Road,Winnipeg,Manitoba,R2M 2Z9,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.1029213170927,49.8577786,POINT (-97.1029213170927 49.8577786)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE REGENT AVENUE,1578 Regent Avenue West,Winnipeg,Manitoba,R2C 3B4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.0664091708033,49.8942628,POINT (-97.0664091708033 49.8942628)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE GATEWAY ROAD,1035 Gateway Road,Winnipeg,Manitoba,R2K 4C1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.0697015512813,49.9281076,POINT (-97.0697015512813 49.9281076)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE MCPHILLIPS STREET,2132 Mcphillips Street,Winnipeg,Manitoba,R2V 3C8,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.1558774150301,49.9494166,POINT (-97.1558774150301 49.9494166)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE KENASTON BLVD,550 Kenaston Boulevard,Winnipeg,Manitoba,R3N 2A1,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.2037910883308,49.8564563,POINT (-97.2037910883308 49.8564563)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE BISON DRIVE,80 Bison Drive,Winnipeg,Manitoba,R3T 4Z7,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.1637019,49.7999021,POINT (-97.1637019 49.7999021)
Real Canadian Superstore,REAL CANADIAN SUPERSTORE PORTAGE AVENUE,3193 Portage Avenue,Winnipeg,Manitoba,R3K 0W4,Canada,"https://www.realcanadiansuperstore.ca/en/store-locator?searchQuery=Winnipeg,%20MB,%20Canada&type=store",-97.2883586260447,49.8827339,POINT (-97.2883586260447 49.8827339)
FreshCo,FreshCo Jefferson & McPhillips,920 Jefferson Avenue,Winnipeg,Manitoba,R2P1W1,Canada,https://www.freshco.com/store-locator,-97.1576208701723,49.94505655,POINT (-97.1576208701723 49.94505655)
FreshCo,FreshCo Sargent,600 Sargent Avenue,Winnipeg,Manitoba,R3E0A1,Canada,https://www.freshco.com/store-locator,-97.1591511885673,49.89580155,POINT (-97.1591511885673 49.89580155)
FreshCo,Freshco Henderson,731 Henderson Highway,Winnipeg,Manitoba,R2K2K4,Canada,https://www.freshco.com/store-locator,-97.1031617536932,49.92683375,POINT (-97.1031617536932 49.92683375)
FreshCo,FreshCo Regent & Lagimodiere,1615 Regent Avenue West,Winnipeg,Manitoba,R2C5C6,Canada,https://www.freshco.com/store-locator,-97.0697177,49.9010799,POINT (-97.0697177 49.9010799)
FreshCo,FreshCo Pembina & McGillivray,1319 Pembina Highway,Winnipeg,Manitoba,R3T2B6,Canada,https://www.freshco.com/store-locator,-97.157174818411,49.7879115456453,POINT (-97.157174818411 49.7879115456453)
FreshCo,FreshCo Niakwa Village,2 Alpine Avenue,Winnipeg,Manitoba,R2M0Y5,Canada,https://www.freshco.com/store-locator,-97.1014736598135,49.855285,POINT (-97.1014736598135 49.855285)
No Frills,CHRIS' NOFRILLS WINNIPEG,600 Notre Dame Avenue,Winnipeg,Manitoba,R3B 1S4,Canada,https://www.nofrills.ca/en/store-locator,-97.1564670102818,49.8999148,POINT (-97.1564670102818 49.8999148)
No Frills,ANDY & NICK'S NOFRILLS WINNIPEG,161 Goulet Street,Winnipeg,Manitoba,R2H 0R6,Canada,https://www.nofrills.ca/en/store-locator,-97.1215372152006,49.8827376,POINT (-97.1215372152006 49.8827376)
No Frills,HELLARD'S NOFRILLS WINNIPEG,1445 Main Street,Winnipeg,Manitoba,R2W 3V8,Canada,https://www.nofrills.ca/en/store-locator,-97.1230345677421,49.9265462,POINT (-97.1230345677421 49.9265462)
No Frills,LUIS & EMMA'S NOFRILLS WINNIPEG STAFFORD,677 Stafford Street,Winnipeg,Manitoba,R3M 2X7,Canada,https://www.nofrills.ca/en/store-locator,-97.153291,49.8568387,POINT (-97.153291 49.8568387)
No Frills,TREVOR & HAYLEY'S NOFRILLS WINNIPEG,1795 Henderson Highway,Winnipeg,Manitoba,R2G 1P3,Canada,https://www.nofrills.ca/en/store-locator,-97.0756489796811,49.95290225,POINT (-97.0756489796811 49.95290225)
No Frills,MIKE'S NOFRILLS WINNIPEG PLESSIS,1500 Plessis Road,Winnipeg,Manitoba,R2C 5R5,Canada,https://www.nofrills.ca/en/store-locator,-97.0277591666223,49.90005635,POINT (-97.0277591666223 49.90005635)
No Frills,JERAMIE'S NOFRILLS WINNIPEG,740 St. Anne's Road,Winnipeg,Manitoba,R2N 0A2,Canada,https://www.nofrills.ca/en/store-locator,-97.0845305858893,49.82197215,POINT (-97.0845305858893 49.82197215)
No Frills,TOM'S NOFRILLS WINNIPEG,6650 Roblin Boulevard,Winnipeg,Manitoba,R3R 2P9,Canada,https://www.nofrills.ca/en/store-locator,-97.3156732017038,49.8622821,POINT (-97.3156732017038 49.8622821)
Save-on-foods,St James,850 ST James Street,Winnipeg,Manitoba,R3G 3L7,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.1990029835355,49.9145270834376,POINT (-97.1990029835355 49.9145270834376)
Save-on-foods,Northgate,1399 McPhillips Street,Winnipeg,Manitoba,R2V 3C4,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.1546124,49.9411235,POINT (-97.1546124 49.9411235)
Save-on-foods,Kildonan,1555 Regent Avenue West,Winnipeg,Manitoba,R2C 4J2,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.0611598557777,49.8984703,POINT (-97.0611598557777 49.8984703)
Save-on-foods,Pembina,1910 Pembina Highway,Winnipeg,Manitoba,R3T 4S5,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.1500276,49.8224768,POINT (-97.1500276 49.8224768)
Save-on-foods,Bridgwater,400 Town Road North,Winnipeg,Manitoba,R3Y 0Y3,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,-97.199287,49.7980482,POINT (-97.199287 49.7980482)
Wal-mart,"C. Winnipeg, Manitoba",1001 Empress Street,Winnipeg,Manitoba,R3G 3P8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,-97.1949138854329,49.9039366291606,POINT (-97.1949138854329 49.9039366291606)
Wal-mart,Winnipeg (grant Park),1000 Taylor Avenue,Winnipeg,Manitoba,R3M 1T6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N0,-97.1587048999281,49.8531207,POINT (-97.1587048999281 49.8531207)
Wal-mart,"E. Winnipeg, Manitoba",1576 Regent Ave West,Winnipeg,Manitoba,R2C 3B4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,-97.0641641018471,49.89392585,POINT (-97.0641641018471 49.89392585)
Wal-mart,Winnipeg (se),35 Lakewood Boulevard,Winnipeg,Manitoba,R2J 2M8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N2,-97.0762245498999,49.8544883,POINT (-97.0762245498999 49.8544883)
Wal-mart,"N. Winnipeg, Garden City",2370 McPhillips Street,Winnipeg,Manitoba,R2V 4J6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N3,-97.1500459701548,49.9576129,POINT (-97.1500459701548 49.9576129)
Wal-mart,"S. Winnipeg, St.vital Ctr",1225 St Mary's Road,Winnipeg,Manitoba,R2M 5E6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N4,-97.1105284,49.8291119,POINT (-97.1105284 49.8291119)
Wal-mart,Sw Winnipeg Manitoba,1665 Kenaston Boulevard,Winnipeg,Manitoba,R3P 2M4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N5,-97.1989243012529,49.8237291,POINT (-97.1989243012529 49.8237291)
Wal-mart,"W. Winnipeg, Manitoba",3655 Portage Avenue,Winnipeg,Manitoba,R3K 2G6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N6,-97.313126084743,49.88589295,POINT (-97.313126084743 49.88589295)
Giant Tiger,Giant Tiger,345 Donald Street,Winnipeg,Manitoba,R3B 2J1,Canada,giant tiger website,-97.1421328,49.8911593,POINT (-97.1421328 49.8911593)
Giant Tiger,Giant Tiger,1450 Ellice Avenue,Winnipeg,Manitoba,R3G 0G4,Canada,giant tiger website,-97.1996091,49.8932039,POINT (-97.1996091 49.8932039)
Giant Tiger,Giant Tiger,507 London Street,Winnipeg,Manitoba,R2K 2Z4,Canada,giant tiger website,-97.0837573898337,49.9094678051173,POINT (-97.0837573898337 49.9094678051173)
Giant Tiger,Giant Tiger,940 Jefferson Avenue,Winnipeg,Manitoba,R2P 1W1,Canada,giant tiger website,-97.15926197892,49.9451652,POINT (-97.15926197892 49.9451652)
Giant Tiger,Giant Tiger,225 Vermillion Road,Winnipeg,Manitoba,R2J 3Z7,Canada,giant tiger website,-97.066931204187,49.8540995,POINT (-97.066931204187 49.8540995)
Giant Tiger,Giant Tiger,838 Regent Avenue West,Winnipeg,Manitoba,R2C 3A8,Canada,giant tiger website,-97.0298151981811,49.8939378,POINT (-97.0298151981811 49.8939378)
Giant Tiger,Giant Tiger,2195 Pembina Highway,Winnipeg,Manitoba,R3T 5S9,Canada,giant tiger website,-97.1542421143467,49.81144235,POINT (-97.1542421143467 49.81144235)
Giant Tiger,Giant Tiger,3332 Portage Avenue,Winnipeg,Manitoba,R3K 0Z1,Canada,giant tiger website,-97.2962396,49.8809649,POINT (-97.2962396 49.8809649)
Food fare,Food fare,839 Cavalier Drive,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.2998362,49.8920755,POINT (-97.2998362 49.8920755)
Food fare,Food fare,247 Lilac Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.1568104062511,49.8698429,POINT (-97.1568104062511 49.8698429)
Food fare,Food fare,115 Maryland Street,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.1605564,49.8819773,POINT (-97.1605564 49.8819773)
Food fare,Food fare,905 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.1702698062314,49.885692,POINT (-97.1702698062314 49.885692)
Food fare,Food fare,2285 Portage Avenue,Winnipeg,Manitoba,,Canada,https://foodfare.com/#,-97.245055,49.8767222,POINT (-97.245055 49.8767222)
Family Foods,Downtown Family Foods,120 Donald Street,Winnipeg,Manitoba,R3C 4G2,Canada,https://familyfoods.ca/store-locator/manitoba/,-97.1410556,49.8883683,POINT (-97.1410556 49.8883683)
Family Foods,Portage Avenue Family Foods,1881 Portage Avenue,Winnipeg,Manitoba,R3J 0H3,Canada,https://familyfoods.ca/store-locator/manitoba/,-97.2193455044197,49.8795701,POINT (-97.2193455044197 49.8795701)
Lucky Supermarket,Lucky Supermarket,1303 Jefferson Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1690458,49.9539915,POINT (-97.1690458 49.9539915)
Lucky Supermarket,Lucky Supermarket,1051 Winnipeg Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1731402964569,49.9071188,POINT (-97.1731402964569 49.9071188)
Young's Trading,Young's Trading,397 William Avenue,Winnipeg,Manitoba,,Canada,google maps,-97.1454685,49.9011595,POINT (-97.1454685 49.9011595)
Young's Market,Young's Market,1000 McPhillips Street,Winnipeg,Manitoba,,Canada,google maps,-97.1676903412514,49.93104845,POINT (-97.1676903412514 49.93104845)
MADINA SUPERMARKET AND HALAL MEAT,MADINA SUPERMARKET AND HALAL MEAT,166 Meadowood Drive,Winnipeg,Manitoba,R2M 2S6,Canada,google maps,-97.109106457539,49.8261576,POINT (-97.109106457539 49.8261576)
Dino's Grocery Mart,Dino's Grocery Mart,84 Isabel Street,Winnipeg,Manitoba,R3A 1E9,Canada,google maps,-97.1509643,49.9006998,POINT (-97.1509643 49.9006998)
